byeWk,draftCnt,frmt,name,ovrlAdp,playerId,pos,rdAdp,rdCnt,team,tmCnt,year
8,130,ppr,David Johnson,1.5,2297,RB,1.01,15,ARI,8,2013
9,166,ppr,LeVeon Bell,2.3,1983,RB,1.02,15,PIT,8,2013
9,95,ppr,Antonio Brown,3.7,1886,WR,1.04,15,PIT,8,2013
8,99,ppr,Odell Beckham Jr,5.6,2113,WR,1.06,15,NYG,8,2013
11,95,ppr,Mike Evans,6.1,2111,WR,1.06,15,TB,8,2013
6,122,ppr,LeSean McCoy,6.4,1645,RB,1.06,15,BUF,8,2013
5,153,ppr,Julio Jones,7.6,1796,WR,1.08,15,ATL,8,2013
5,150,ppr,Devonta Freeman,8.2,2144,RB,1.08,15,ATL,8,2013
9,110,ppr,Melvin Gordon,8.7,2282,RB,2.01,15,LAC,8,2013
6,109,ppr,A.J. Green,9.5,1795,WR,2.02,15,CIN,8,2013
8,142,ppr,Jordy Nelson,10.7,1350,WR,2.03,15,GB,8,2013
6,144,ppr,Ezekiel Elliott,12.3,2343,RB,2.04,15,DAL,8,2013
11,140,ppr,Jay Ajayi,13.2,2284,RB,2.05,15,MIA,8,2013
5,84,ppr,Michael Thomas,13.2,2357,WR,2.05,15,NO,8,2013
8,109,ppr,DeMarco Murray,14.0,1819,RB,2.06,15,TEN,8,2013
9,110,ppr,Brandin Cooks,16.5,2114,WR,3.01,15,NE,8,2013
9,99,ppr,Jordan Howard,16.5,2384,RB,3.01,15,CHI,8,2013
9,157,ppr,Rob Gronkowski,18.1,1740,TE,3.02,15,NE,8,2013
6,124,ppr,Dez Bryant,18.8,1727,WR,3.03,15,DAL,8,2013
8,110,ppr,Todd Gurley,19.2,2280,RB,3.03,15,LAR,8,2013
10,153,ppr,Amari Cooper,20.1,2277,WR,3.04,15,OAK,8,2013
8,135,ppr,Aaron Rodgers,20.6,1004,QB,3.05,15,GB,8,2013
6,127,ppr,Doug Baldwin,21.6,1927,WR,3.06,15,SEA,8,2013
10,153,ppr,Kareem Hunt,23.1,2450,RB,3.07,15,KC,8,2013
11,102,ppr,Christian McCaffrey,23.4,2434,RB,3.07,15,CAR,8,2013
9,101,ppr,Keenan Allen,26.0,1992,WR,4.02,15,LAC,8,2013
9,87,ppr,Dalvin Cook,26.6,2432,RB,4.03,15,MIN,8,2013
8,129,ppr,Leonard Fournette,27.0,2433,RB,4.03,15,JAC,8,2013
9,148,ppr,Tom Brady,27.4,119,QB,4.03,15,NE,8,2013
11,103,ppr,T.Y. Hilton,29.0,1935,WR,4.05,15,IND,8,2013
9,76,ppr,Isaiah Crowell,30.5,2219,RB,4.07,15,CLE,8,2013
5,137,ppr,Terrelle Pryor,30.8,1868,WR,4.07,15,WAS,8,2013
7,112,ppr,DeAndre Hopkins,31.5,1975,WR,4.08,15,HOU,8,2013
5,80,ppr,Demaryius Thomas,34.2,1735,WR,5.02,15,DEN,8,2013
10,103,ppr,Marshawn Lynch,35.0,740,RB,5.03,15,OAK,8,2013
8,129,ppr,Ty Montgomery,35.0,2317,RB,5.03,15,GB,8,2013
10,118,ppr,Travis Kelce,35.1,1989,TE,5.03,15,KC,8,2013
7,96,ppr,Lamar Miller,35.7,1908,RB,5.04,15,HOU,8,2013
10,122,ppr,Alshon Jeffery,37.5,1918,WR,5.06,15,PHI,8,2013
11,114,ppr,Carlos Hyde,37.7,2129,RB,5.06,15,SF,8,2013
5,144,ppr,Drew Brees,39.0,127,QB,5.07,15,NO,8,2013
11,119,ppr,Kelvin Benjamin,39.3,2116,WR,5.07,15,CAR,8,2013
10,110,ppr,Michael Crabtree,43.2,1646,WR,6.03,15,OAK,8,2013
6,108,ppr,Joe Mixon,43.4,2438,RB,6.03,15,CIN,8,2013
8,143,ppr,Davante Adams,44.4,2125,WR,6.04,15,GB,8,2013
10,131,ppr,Tyreek Hill,45.5,2390,WR,6.05,15,KC,8,2013
11,109,ppr,Greg Olsen,46.1,890,TE,6.06,15,CAR,8,2013
9,150,ppr,Martavis Bryant,47.5,2150,WR,6.08,15,PIT,8,2013
5,72,ppr,Matt Ryan,48.5,1342,QB,7.01,15,ATL,8,2013
5,57,ppr,Jordan Reed,49.2,1995,TE,7.01,15,WAS,8,2013
11,139,ppr,Doug Martin,49.4,1907,RB,7.01,15,TB,8,2013
7,125,ppr,Golden Tate,49.7,1730,WR,7.02,15,DET,8,2013
6,55,ppr,Jimmy Graham,51.0,1747,TE,7.03,15,SEA,8,2013
11,101,ppr,Bilal Powell,52.3,1867,RB,7.04,15,NYJ,8,2013
8,149,ppr,Larry Fitzgerald,53.0,374,WR,7.05,15,ARI,8,2013
6,65,ppr,Russell Wilson,53.2,1904,QB,7.05,15,SEA,8,2013
5,108,ppr,CJ Anderson,53.5,2071,RB,7.06,15,DEN,8,2013
7,110,ppr,Ameer Abdullah,56.0,2293,RB,7.08,15,DET,8,2013
11,196,ppr,DeVante Parker,57.6,2279,WR,8.02,15,MIA,8,2013
9,120,ppr,Stefon Diggs,58.9,2316,WR,8.03,15,MIN,8,2013
5,86,ppr,Mark Ingram,60.6,1800,RB,8.05,15,NO,8,2013
10,89,ppr,Danny Woodhead,60.7,1776,RB,8.05,15,BAL,8,2013
8,127,ppr,Allen Robinson,60.7,2130,WR,8.05,15,JAC,8,2013
10,80,ppr,Derek Carr,61.9,2118,QB,8.06,15,OAK,8,2013
11,119,ppr,Jarvis Landry,64.7,2132,WR,9.01,15,MIA,8,2013
9,101,ppr,Mike Gillislee,66.4,2017,RB,9.02,15,NE,8,2013
5,106,ppr,Jamison Crowder,66.8,2331,WR,9.03,15,WAS,8,2013
6,104,ppr,Darren McFadden,68.6,1341,RB,9.05,15,DAL,8,2013
8,81,ppr,Brandon Marshall,68.6,755,WR,9.05,15,NYG,8,2013
5,91,ppr,Adrian Peterson,68.8,925,RB,9.05,15,NO,8,2013
8,68,ppr,Marcus Mariota,69.1,2276,QB,9.05,15,TEN,8,2013
6,84,ppr,Tyler Eifert,69.9,1974,TE,9.06,15,CIN,8,2013
11,110,ppr,Pierre Garcon,71.9,1707,WR,9.08,15,SF,8,2013
5,79,ppr,Willie Snead,72.5,2223,WR,10.01,15,NO,8,2013
5,71,ppr,Rob Kelley,73.0,2429,RB,10.01,15,WAS,8,2013
8,66,ppr,Sammy Watkins,74.3,2109,WR,10.02,15,LAR,8,2013
5,80,ppr,Tevin Coleman,75.0,2289,RB,10.03,15,ATL,8,2013
5,40,ppr,Emmanuel Sanders,75.8,1762,WR,10.04,15,DEN,8,2013
8,93,ppr,Derrick Henry,76.4,2350,RB,10.04,15,TEN,8,2013
11,84,ppr,Jameis Winston,77.3,2275,QB,10.05,15,TB,8,2013
8,111,ppr,Delanie Walker,77.7,1201,TE,10.06,15,TEN,8,2013
10,34,ppr,Jeremy Maclin,77.9,1649,WR,10.06,15,BAL,8,2013
5,75,ppr,Kirk Cousins,78.3,1902,QB,10.06,15,WAS,8,2013
11,81,ppr,Cam Newton,78.4,1794,QB,10.06,15,CAR,8,2013
9,84,ppr,Chris Hogan,78.8,2076,WR,10.07,15,NE,8,2013
10,89,ppr,Zach Ertz,79.9,1978,TE,10.08,15,PHI,8,2013
8,42,ppr,Eric Decker,82.6,1764,WR,11.03,15,TEN,8,2013
6,4,ppr,CJ Prosise,84.0,2364,RB,11.04,15,SEA,8,2013
11,54,ppr,DeSean Jackson,84.3,1357,WR,11.04,15,TB,8,2013
7,61,ppr,Theo Riddick,85.7,2033,RB,11.06,15,DET,8,2013
11,5,ppr,Jay Cutler,87.0,265,QB,11.07,15,MIA,8,2013
9,114,ppr,Kyle Rudolph,87.0,1799,TE,11.07,15,MIN,8,2013
8,112,ppr,Paul Perkins,87.1,2383,RB,11.07,15,NYG,8,2013
11,78,ppr,Frank Gore,88.0,437,RB,11.08,15,IND,8,2013
5,110,ppr,Denver Defense,88.7,1309,DEF,12.01,15,DEN,8,2013
9,91,ppr,Ben Roethlisberger,89.3,1006,QB,12.01,15,PIT,8,2013
11,86,ppr,Andrew Luck,90.6,1897,QB,12.03,15,IND,8,2013
8,59,ppr,Randall Cobb,90.7,1806,WR,12.03,15,GB,8,2013
8,11,ppr,Eli Manning,90.8,749,QB,12.03,15,NYG,8,2013
10,85,ppr,LeGarrette Blount,91.3,1781,RB,12.03,15,PHI,8,2013
9,50,ppr,Tyrell Williams,91.5,2483,WR,12.04,15,LAC,8,2013
8,168,ppr,Martellus Bennett,93.9,1364,TE,12.06,15,GB,8,2013
6,86,ppr,Seattle Defense,94.2,1327,DEF,12.06,15,SEA,8,2013
10,64,ppr,Terrance West,94.8,2139,RB,12.07,15,BAL,8,2013
6,82,ppr,Dak Prescott,95.1,2377,QB,12.07,15,DAL,8,2013
7,9,ppr,Eric Ebron,95.3,2112,TE,12.07,15,DET,8,2013
9,36,ppr,Corey Coleman,95.6,2346,WR,12.08,15,CLE,8,2013
10,110,ppr,Kansas City Defense,96.4,1315,DEF,12.08,15,KC,8,2013
6,41,ppr,Eddie Lacy,96.9,1987,RB,13.01,15,SEA,8,2013
9,78,ppr,Philip Rivers,97.9,995,QB,13.02,15,LAC,8,2013
7,91,ppr,Houston Defense,98.1,1312,DEF,13.02,15,HOU,8,2013
9,39,ppr,Adam Thielen,98.7,2431,WR,13.03,15,MIN,8,2013
6,10,ppr,Andy Dalton,99.1,1802,QB,13.03,15,CIN,8,2013
10,122,ppr,Justin Tucker,99.2,1962,PK,13.03,15,BAL,8,2013
6,86,ppr,Thomas Rawls,100.0,2337,RB,13.04,15,SEA,8,2013
7,43,ppr,Marvin Jones,100.4,2061,WR,13.04,15,DET,8,2013
9,50,ppr,Hunter Henry,100.7,2354,TE,13.05,15,LAC,8,2013
9,57,ppr,New England Defense,101.4,1318,DEF,13.05,15,NE,8,2013
6,12,ppr,Jason Witten,101.4,1286,TE,13.05,15,DAL,8,2013
9,71,ppr,Duke Johnson,101.4,2285,RB,13.05,15,CLE,8,2013
8,24,ppr,Corey Davis,101.9,2435,WR,13.06,15,TEN,8,2013
11,24,ppr,Jonathan Stewart,102.0,1344,RB,13.06,15,CAR,8,2013
8,16,ppr,Rishard Matthews,102.1,2241,WR,13.06,15,TEN,8,2013
9,141,ppr,Stephen Gostkowski,102.6,438,PK,13.07,15,NE,8,2013
11,49,ppr,Jacquizz Rodgers,103.1,1827,RB,13.07,15,TB,8,2013
7,53,ppr,Matthew Stafford,103.7,1664,QB,13.08,15,DET,8,2013
5,16,ppr,Ted Ginn Jr,103.9,426,WR,13.08,15,NO,8,2013
8,39,ppr,Arizona Defense,104.6,1250,DEF,14.01,15,ARI,8,2013
8,22,ppr,Cooper Kupp,104.6,2449,WR,14.01,15,LAR,8,2013
11,3,ppr,Jack Doyle,104.7,2430,TE,14.01,15,IND,8,2013
11,22,ppr,Donte Moncrief,105.2,2137,WR,14.01,15,IND,8,2013
9,11,ppr,Danny Amendola,105.5,1720,WR,14.02,15,NE,8,2013
9,7,ppr,Rex Burkhead,105.7,2029,RB,14.02,15,NE,8,2013
5,19,ppr,Jamaal Charles,105.8,1368,RB,14.02,15,DEN,8,2013
9,10,ppr,Kevin White,106.0,2278,WR,14.02,15,CHI,8,2013
5,3,ppr,Atlanta Defense,106.0,1334,DEF,14.02,15,ATL,8,2013
6,9,ppr,Jordan Matthews,106.1,2121,WR,14.02,15,BUF,8,2013
10,13,ppr,Darren Sproles,106.2,1105,RB,14.02,15,PHI,8,2013
8,48,ppr,John Brown,106.6,2138,WR,14.03,15,ARI,8,2013
10,7,ppr,Carson Wentz,106.6,2352,QB,14.03,15,PHI,8,2013
5,3,ppr,Alvin Kamara,106.7,2439,RB,14.03,15,NO,8,2013
6,5,ppr,Buffalo Defense,106.8,1303,DEF,14.03,15,BUF,8,2013
8,11,ppr,Jamaal Williams,106.8,2445,RB,14.03,15,GB,8,2013
9,21,ppr,James White,107.2,2154,RB,14.03,15,NE,8,2013
5,5,ppr,Samaje Perine,107.2,2441,RB,14.03,15,WAS,8,2013
6,4,ppr,Blair Walsh,107.8,1957,PK,14.04,15,SEA,8,2013
6,3,ppr,Zay Jones,108.0,2468,WR,14.04,15,BUF,8,2013
11,9,ppr,Carolina Defense,108.0,1304,DEF,14.04,15,CAR,8,2013
9,37,ppr,Minnesota Defense,108.3,1317,DEF,14.04,15,MIN,8,2013
11,3,ppr,O.J. Howard,108.3,2446,TE,14.04,15,TB,8,2013
10,12,ppr,Mike Wallace,108.8,1678,WR,14.05,15,BAL,8,2013
10,11,ppr,Baltimore Defense,108.9,1332,DEF,14.05,15,BAL,8,2013
11,6,ppr,Adam Vinatieri,109.3,1195,PK,14.05,15,IND,8,2013
6,4,ppr,Jeremy Hill,109.5,2127,RB,14.06,15,CIN,8,2013
5,8,ppr,Austin Hooper,110.0,2361,TE,14.06,15,ATL,8,2013
5,88,ppr,Matt Bryant,110.1,150,PK,14.06,15,ATL,8,2013
8,5,ppr,Carson Palmer,110.4,900,QB,14.06,15,ARI,8,2013
6,51,ppr,Dan Bailey,112.4,1891,PK,14.08,15,DAL,8,2013
9,15,ppr,Pittsburgh Defense,113.0,1324,DEF,15.01,15,PIT,8,2013
8,22,ppr,NY Giants Defense,113.0,1320,DEF,15.01,15,NYG,8,2013
8,44,ppr,Mason Crosby,113.1,251,PK,15.01,15,GB,8,2013
10,12,ppr,Philadelphia Defense,113.4,1323,DEF,15.01,15,PHI,8,2013
10,16,ppr,Sebastian Janikowski,113.5,593,PK,15.02,15,OAK,8,2013
9,5,ppr,LA Chargers Defense,113.6,1325,DEF,15.02,15,LAC,8,2013
5,37,ppr,Wil Lutz,114.1,2522,PK,15.02,15,NO,8,2013
5,17,ppr,Brandon McManus,114.2,2336,PK,15.02,15,DEN,8,2013
11,4,ppr,Julius Thomas,114.5,1881,TE,15.03,15,MIA,8,2013
10,3,ppr,Cairo Santos,116.3,2335,PK,15.04,15,KC,8,2013
7,16,ppr,Matt Prater,117.2,1390,PK,15.05,15,DET,8,2013
9,3,ppr,Chris Boswell,118.0,2340,PK,15.06,15,PIT,8,2013
